5200,1450
10320,2850
15280,3BB0
19960,4DF8
24320,5F00
28280,6E78
31720,7BE8
-30896,8750
-28616,9038
-26936,96C8
-25896,9AD8
-25536,9C40
-25896,9AD8
-26936,96C8
-28616,9038
-30896,8750
31720,7BE8
28280,6E78
24320,5F00
20000,4E20
15280,3BB0
10320,2850
5200,1450
0,0000
-5200,EBB0
-10320,D7B0
-15280,C450
-19960,B208
-24320,A100
-28280,9188
-31720,8418
30896,78B0
28616,6FC8
26936,6938
25896,6528
25536,63C0
25896,6528
26936,6938
28616,6FC8
30896,78B0
-31720,8418
-28280,9188
-24320,A100
-20000,B1E0
-15280,C450
-10320,D7B0
-5200,EBB0
0,0000
